domain,system,n,precision,recall,f1,recall_inconsistency,support_inconsistency,recall_goal_incompleteness,support_goal_incompleteness,recall_resource_infeasibility,support_resource_infeasibility
blocksworld,hybrid,16,1.0,1.0,1.0,1.0,11,1.0,2,1.0,4
blocksworld,symbolic_only,16,1.0,1.0,1.0,1.0,11,1.0,2,1.0,4
blocksworld,learned_only,16,0.75,1.0,0.857,1.0,11,1.0,2,1.0,4
blocksworld,llm_judge_zeroshot,16,1.0,1.0,1.0,1.0,11,1.0,2,1.0,4
blocksworld,llm_judge_cot,16,1.0,1.0,1.0,1.0,11,1.0,2,1.0,4
blocksworld,self_repair_detect,16,1.0,1.0,1.0,1.0,11,1.0,2,1.0,4
logistics,hybrid,24,1.0,1.0,1.0,,0,1.0,1,,0
logistics,symbolic_only,24,1.0,1.0,1.0,,0,1.0,1,,0
logistics,learned_only,24,1.0,1.0,1.0,,0,1.0,1,,0
logistics,llm_judge_zeroshot,24,1.0,1.0,1.0,,0,1.0,1,,0
logistics,llm_judge_cot,24,1.0,1.0,1.0,,0,1.0,1,,0
logistics,self_repair_detect,24,1.0,1.0,1.0,,0,1.0,1,,0
tools,hybrid,32,0.833,1.0,0.909,1.0,9,1.0,7,1.0,1
tools,symbolic_only,32,0.833,1.0,0.909,1.0,9,1.0,7,1.0,1
tools,learned_only,32,0.471,0.533,0.5,0.556,9,0.429,7,0.0,1
tools,llm_judge_zeroshot,32,1.0,1.0,1.0,1.0,9,1.0,7,1.0,1
tools,llm_judge_cot,32,1.0,1.0,1.0,1.0,9,1.0,7,1.0,1
tools,self_repair_detect,32,0.938,1.0,0.968,1.0,9,1.0,7,1.0,1
ALL,hybrid,72,0.903,1.0,0.949,1.0,20,1.0,10,1.0,5
ALL,symbolic_only,72,0.903,1.0,0.949,1.0,20,1.0,10,1.0,5
ALL,learned_only,72,0.618,0.75,0.677,0.8,20,0.6,10,0.8,5
ALL,llm_judge_zeroshot,72,1.0,1.0,1.0,1.0,20,1.0,10,1.0,5
ALL,llm_judge_cot,72,1.0,1.0,1.0,1.0,20,1.0,10,1.0,5
ALL,self_repair_detect,72,0.966,1.0,0.982,1.0,20,1.0,10,1.0,5
